Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,2024,2025
".Trigg County, Kentucky","14,053","14,077","14,219","14,331","14,353","14,513","14,512"
".Trimble County, Kentucky","8,473","8,465","8,552","8,521","8,631","8,639","8,701"
".Union County, Kentucky","13,668","13,644","13,262","13,126","13,091","13,127","12,839"
".Warren County, Kentucky","134,563","135,039","137,194","140,434","143,259","146,566","149,375"
".Washington County, Kentucky","12,027","12,042","12,081","12,067","12,266","12,310","12,368"
".Wayne County, Kentucky","19,562","19,548","19,547","19,669","19,629","19,563","19,597"
".Webster County, Kentucky","13,017","13,021","12,853","12,728","12,746","12,872","12,929"
".Whitley County, Kentucky","36,714","36,696","36,820","36,953","36,903","37,205","37,297"
".Wolfe County, Kentucky","6,564","6,560","6,509","6,415","6,318","6,263","6,298"
".Woodford County, Kentucky","26,868","26,900","27,093","27,162","27,521","27,684","27,883"
