Case_ID,Region,County,Jurisdiction,Age_at_Case_Filing,Case_Category,Case_Filing_Date,Case_Disposition_Date,Charge_ID_Number,Charge Type,UOR_Code,Offense_Description,ASCF_Code,ASCF,AOC_Offense_Category_Code,AOC_Offense_Category,Charge_Level,Charge_Class,Charge_Filing_Date,Original_Plea,Final_Plea,Charge_Disposition_Date,Charge_Disposition,Charge_Disposition_Category,Trial_Type,Sentence_Date,SEN_FINE_SENT_AMT,SEN_FINE_PROB_AMT,SEN_FINE_SUSP_AMT,SEN_FINE_COND_AMT,SEN_COST_SENT_AMT,SEN_COST_PROB_AMT,SEN_COST_SUSP_AMT,SEN_COST_COND_AMT,SEN_CONCURRENT,SEN_CONSECUTIVE,SEN_JAIL,SEN_PRISON,SEN_JORP_SENT_YEARS,SEN_JORP_SENT_MONTHS,SEN_JORP_SENT_DAYS,SEN_JORP_SENT_HOURS,SEN_JORP_SUSP_YEARS,SEN_JORP_SUSP_MONTHS,SEN_JORP_SUSP_DAYS,SEN_JORP_SUSP_HOURS,SEN_JORP_COND_YEARS,SEN_JORP_COND_MONTHS,SEN_JORP_COND_DAYS,SEN_JORP_COND_HOURS,SEN_HOME_SENT_YEARS,SEN_HOME_SENT_MONTHS,SEN_HOME_SENT_DAYS,SEN_HOME_SENT_HOURS,SEN_HOME_SUSP_YEARS,SEN_HOME_SUSP_MONTHS,SEN_HOME_SUSP_DAYS,SEN_HOME_SUSP_HOURS,SEN_HOME_COND_YEARS,SEN_HOME_COND_MONTHS,SEN_HOME_COND_DAYS,SEN_HOME_COND_HOURS,SEN_PROB_SUPV_YEARS,SEN_PROB_SUPV_MONTHS,SEN_PROB_SUPV_DAYS,SEN_PROB_SUPV_HOURS,SEN_PROB_UNSP_YEARS,SEN_PROB_UNSP_MONTHS,SEN_PROB_UNSP_DAYS,SEN_PROB_UNSP_HOURS,SEN_LOCAL_PROBATION,SEN_STATE_PROBATION,SEN_COMM_SRVC_YEARS,SEN_COMM_SRVC_MONTHS,SEN_COMM_SRVC_DAYS,SEN_COMM_SRVC_HOURS,SEN_CRDT_TIME_YEARS,SEN_CRDT_TIME_MONTHS,SEN_CRDT_TIME_DAYS,SEN_CRDT_TIME_HOURS,SEN_LIFE_SENTENCE,SEN_DEATH_SENTENCE,SEN_A_D_E,SEN_UNDERGO_TREATMNT,SEN_MAKE_RESTITUTION,Judge_at_Sentence,Defendant_ID,Identification,Race,Ethnicity,Gender
456,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,6/19/2020,3A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,6/19/2020,Unknown,Unknown,6/19/2020,GUILTY,Convicted,NO TRIAL,6/19/2020,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,445,Criminal History Key,White,Non-Hispanic,Female
457,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,3/6/2020,1,Original Charge,131130,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTI,0,Base,AST,Assault,Felony,D ,9/6/2019,Unknown,Unknown,1/3/2020,GUILTY,Convicted,NO TRIAL,3/6/2020,NULL,NULL,NULL,NULL,130,NULL,130,NULL,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,601249,446,Criminal History Key,White,Non-Hispanic,Male
457,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,3/6/2020,2,Original Charge,422150,"POSS CONT SUB, 1ST DEGREE, 1ST OFF (METHAMPHETAMINE)",0,Base,DGP,Drug Possession,Felony,D ,9/6/2019,Unknown,Unknown,1/3/2020,GUILTY,Convicted,NO TRIAL,3/6/2020,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,446,Criminal History Key,White,Non-Hispanic,Male
457,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,3/6/2020,3,Original Charge,420810,DRUG PARAPHERNALIA - BUY/POSSESS,0,Base,DGP,Drug Possession,Misdemeanor,A ,9/6/2019,Unknown,Unknown,1/3/2020,GUILTY,Convicted,NO TRIAL,3/6/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,446,Criminal History Key,White,Non-Hispanic,Male
457,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,3/6/2020,4,Original Charge,024040,RESISTING ARREST,0,Base,RTC,Related to Custody,Misdemeanor,A ,9/6/2019,Unknown,Unknown,1/3/2020,GUILTY,Convicted,NO TRIAL,3/6/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,446,Criminal History Key,White,Non-Hispanic,Male
457,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,3/6/2020,5A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,3/6/2020,Unknown,Unknown,3/6/2020,GUILTY,Convicted,NO TRIAL,3/6/2020,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,446,Criminal History Key,White,Non-Hispanic,Male
458,Micropolitan: Western,BALLARD,Circuit Court,42,Circuit Criminal,9/6/2019,3/20/2020,1,Original Charge,422150,"POSS CONT SUB, 1ST DEGREE, 1ST OFF (METHAMPHETAMINE)",0,Base,DGP,Drug Possession,Felony,D ,9/6/2019,Unknown,Unknown,1/28/2020,GUILTY,Convicted,NO TRIAL,3/20/2020,NULL,NULL,NULL,NULL,185,NULL,NULL,NULL,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,601249,447,Criminal History Key,White,Non-Hispanic,Female
458,Micropolitan: Western,BALLARD,Circuit Court,42,Circuit Criminal,9/6/2019,3/20/2020,3A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,3/20/2020,Unknown,Unknown,3/20/2020,GUILTY,Convicted,NO TRIAL,3/20/2020,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,447,Criminal History Key,White,Non-Hispanic,Female
459,Micropolitan: Western,BALLARD,Circuit Court,36,Circuit Criminal,9/6/2019,10/16/2020,2A    ,Amended,423641,"ATT TICS, 1ST DEGREE, 2ND OR > (>= 2 GMS METHAMPHETAMINE)",1,Attempt,DGT,Drug Trafficking,Felony,C ,10/16/2020,Unknown,Unknown,10/16/2020,GUILTY,Convicted,NO TRIAL,10/16/2020,NULL,NULL,NULL,NULL,185,NULL,NULL,NULL,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,601249,448,Criminal History Key,White,Non-Hispanic,Male
459,Micropolitan: Western,BALLARD,Circuit Court,36,Circuit Criminal,9/6/2019,10/16/2020,4A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,10/16/2020,Unknown,Unknown,10/16/2020,GUILTY,Convicted,NO TRIAL,10/16/2020,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,448,Criminal History Key,White,Non-Hispanic,Male
460,Micropolitan: Western,BALLARD,Circuit Court,46,Circuit Criminal,9/6/2019,10/16/2020,3,Original Charge,422150,"POSS CONT SUB, 1ST DEGREE, 1ST OFF (METHAMPHETAMINE)",0,Base,DGP,Drug Possession,Felony,D ,9/6/2019,Unknown,Unknown,3/6/2020,GUILTY,Convicted,NO TRIAL,10/16/2020,NULL,NULL,NULL,NULL,185,NULL,NULL,NULL,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,300,0,0,245,0,0,0,0,0,0,601249,449,Criminal History Key,White,Non-Hispanic,Male
460,Micropolitan: Western,BALLARD,Circuit Court,46,Circuit Criminal,9/6/2019,10/16/2020,4A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,10/16/2020,Unknown,Unknown,10/16/2020,GUILTY,Convicted,NO TRIAL,10/16/2020,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,449,Criminal History Key,White,Non-Hispanic,Male
